,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
100112AJ,,,11.5,33.4,-6,0.0000465,0.000000587,0.000000575,0.005579673,0.00000146,0.0000013,,,0.0000151,0.007128234,,0.000120294,0.00000133,0.001903016,,0.00000305
100112AK,,,11.5,33.3,-6,0.0000351,0.00000073,0.000000796,0.005567905,0.00000178,,,,0.000016,0.007061977,,0.000119384,0.000000448,0.001862495,,
100112AL,,,11.5,32.6,-6,0.0000402,0.000000566,0.00000135,0.005541676,,0.000000969,,,0.0000169,0.007119706,,0.000119649,0.000000436,0.001816768,,
100112AM,,,11.5,31.5,-6,0.0000396,0.000000531,0.000000594,0.005514388,0.00000274,0.00000104,,4.03E-05,0.0000167,0.00713426,1.47E-05,0.000120166,0.000000617,0.00192022,,0.00000317
090123D,,,11.5,34,-6,0.0000861,0.00000191,,0.005346724,2.18E-06,,,4.68E-05,0.000000965,0.006484189,1.12E-05,0.000147935,0.0000018,0.001457086,,
140115Y,,,11.6,24.5,-6,0.000107969,0.00000216,,0.0118,0.00000549,0.00000999,0.00000183,0.00000161,0.00000273,0.0143,0.0000505,0.000329,0.00000126,0.00179,0.0000201,0.00000359
100111AC,,,11.6,16.5,-6,0.000693809,0.0000381,0.00000075,0.011631942,0.00000252,0.000123129,,4.84E-05,0.0000153,0.014631625,1.59E-05,0.000289855,0.000180786,0.000326863,,0.000000242
100111AD,,,11.6,32.4,-6,0.0000462,0.000000545,,0.013049165,,0.00000208,,7.10E-05,0.0000346,0.018105639,7.46E-05,0.000266874,0.000000284,0.002183014,,0.00000541
140114R,,,11.6,21.1,-6,0.0000415,0.00000244,,0.0071,0.00000455,0.0000211,0.000000755,0.0000112,0.00000153,0.0081,0.0000198,0.000225,0.00000146,0.00185,0.0000113,0.00000187
120111A,,,11.6,22.3,-6,0.0000866,0.00000788,,0.00462046,0.00000134,0.0000131,0.00000167,6.29E-05,0.00000229,0.005331289,5.87E-06,0.000144897,0.00000204,0.00131,,0.000000847
120113J,,,11.6,25.8,-6,0.0000922,0.00000382,2.11E-08,0.003558232,0.000000916,0.00000476,0.00000279,3.87E-05,0.00000238,0.004195903,2.41E-05,0.000102271,0.000000588,0.00172,,0.000000847
100108L,,,11.6,29.2,-6,0.0000686,0.00000089,,0.008439178,,0.00000505,,1.29E-05,0.0000279,0.010611954,3.17E-05,0.000220287,0.000000695,0.001938123,,0.00000596
100108N,,,11.6,27.6,-6,0.0000395,0.000000434,,0.00828349,,0.0000058,,,0.0000295,0.0104278,,0.000213793,0.000000889,0.001754978,,
100108Q,,,11.6,22.9,-6,0.000084,0.00000247,,0.007591862,,0.0000253,,,0.0000151,0.009186525,,0.000198107,0.00000636,0.001190104,,
100108R,,,11.6,27.9,-6,0.0000555,0.000000776,,0.007277422,,0.0000159,,,0.0000148,0.008885264,,0.000183484,0.00000127,0.001696265,,
140111F,,,11.6,23.8,-6,0.000041,0.0000105,0.00000258,0.00466,0.00000298,0.0000113,,0.00000149,0.00000205,0.00586,0.0000155,0.000139,0.00000382,0.00169,,0.00000678
